Date,Hits
"Fri, 01 Jan 1999 00:00:00",839
"Thu, 01 Dec 2011 00:00:00",8
"Sun, 01 Sep 2013 00:00:00",243
"Sun, 01 May 2016 00:00:00",90
"Mon, 01 Aug 2016 00:00:00",8
"Mon, 01 May 2017 00:00:00",4
"Mon, 01 Jan 2018 00:00:00",480029
"Thu, 01 Feb 2018 00:00:00",5180484
"Thu, 01 Mar 2018 00:00:00",18811030
"Sun, 01 Apr 2018 00:00:00",67419807
"Tue, 01 May 2018 00:00:00",93952483
"Fri, 01 Jun 2018 00:00:00",128841230
"Sun, 01 Jul 2018 00:00:00",182482745
"Wed, 01 Aug 2018 00:00:00",217994066
"Sat, 01 Sep 2018 00:00:00",246087090
"Mon, 01 Oct 2018 00:00:00",301577862
"Thu, 01 Nov 2018 00:00:00",380878219
"Sat, 01 Dec 2018 00:00:00",477716906
"Tue, 01 Jan 2019 00:00:00",552974965
"Fri, 01 Feb 2019 00:00:00",575739967
"Fri, 01 Mar 2019 00:00:00",923920931
"Mon, 01 Apr 2019 00:00:00",940855929
"Wed, 01 May 2019 00:00:00",765843554
"Sat, 01 Jun 2019 00:00:00",754954425
"Mon, 01 Jul 2019 00:00:00",1069627434
"Thu, 01 Aug 2019 00:00:00",2725820019
"Sun, 01 Sep 2019 00:00:00",1259065353
"Tue, 01 Oct 2019 00:00:00",1681575119
"Fri, 01 Nov 2019 00:00:00",1951735372
"Sun, 01 Dec 2019 00:00:00",1892805276
"Wed, 01 Jan 2020 00:00:00",2285032876
"Sat, 01 Feb 2020 00:00:00",2128782739
"Sun, 01 Mar 2020 00:00:00",2537714624
"Wed, 01 Apr 2020 00:00:00",2467045833
"Fri, 01 May 2020 00:00:00",3008272779
"Mon, 01 Jun 2020 00:00:00",3832615957
"Wed, 01 Jul 2020 00:00:00",6274300493
"Sat, 01 Aug 2020 00:00:00",9692574568
"Tue, 01 Sep 2020 00:00:00",8290199465
"Thu, 01 Oct 2020 00:00:00",8172139935
"Sun, 01 Nov 2020 00:00:00",9461774523
"Tue, 01 Dec 2020 00:00:00",13349608023
"Fri, 01 Jan 2021 00:00:00",14228224233
"Mon, 01 Feb 2021 00:00:00",13435635458
"Mon, 01 Mar 2021 00:00:00",15250339466
"Thu, 01 Apr 2021 00:00:00",15221708574
"Sat, 01 May 2021 00:00:00",11873738749
"Tue, 01 Jun 2021 00:00:00",1820
"Thu, 01 Jul 2021 00:00:00",4
"Wed, 01 Sep 2021 00:00:00",82
"Fri, 01 Oct 2021 00:00:00",2
"Wed, 01 Dec 2021 00:00:00",20
"Fri, 01 Apr 2022 00:00:00",48
"Fri, 01 Jul 2022 00:00:00",19
"Fri, 01 Sep 2023 00:00:00",72
"Mon, 01 Sep 2025 00:00:00",54
"Sat, 01 Dec 2029 00:00:00",20
