Date,Hits
"Thu, 01 May 2014 00:00:00",5
"Wed, 01 Jan 2020 00:00:00",25
"Sat, 01 Feb 2020 00:00:00",348294
"Sun, 01 Mar 2020 00:00:00",4426463
"Wed, 01 Apr 2020 00:00:00",12126997
"Fri, 01 May 2020 00:00:00",13579263
"Mon, 01 Jun 2020 00:00:00",19759857
"Wed, 01 Jul 2020 00:00:00",24402446
"Sat, 01 Aug 2020 00:00:00",30157977
"Tue, 01 Sep 2020 00:00:00",31447023
"Thu, 01 Oct 2020 00:00:00",38418683
"Sun, 01 Nov 2020 00:00:00",70563326
"Tue, 01 Dec 2020 00:00:00",86902285
"Fri, 01 Jan 2021 00:00:00",116561332
"Mon, 01 Feb 2021 00:00:00",124496978
"Mon, 01 Mar 2021 00:00:00",162395696
"Thu, 01 Apr 2021 00:00:00",194109978
"Sat, 01 May 2021 00:00:00",229359413
"Tue, 01 Jun 2021 00:00:00",292472300
"Thu, 01 Jul 2021 00:00:00",362834563
"Sun, 01 Aug 2021 00:00:00",494727274
"Wed, 01 Sep 2021 00:00:00",754607967
"Fri, 01 Oct 2021 00:00:00",492870171
"Mon, 01 Nov 2021 00:00:00",522546325
"Wed, 01 Dec 2021 00:00:00",6231171
